0	_lymphocyte_n_01
1	_colorlessness_n_01
2	_butchery_n_02
3	_calculator_n_01
4	_fishpole_bamboo_n_01
5	_duplicate_n_02
6	_audio_system_n_01
7	_mexiletine_n_01
8	_edentate_n_01
9	_arteriosclerosis_n_01
10	_topmast_n_01
11	_bird's_nest_n_01
12	_evaporate_v_01
13	_protrusive_a_01
14	_resident_a_01
15	_profession_n_03
16	_contrast_v_01
17	_brandish_v_01
18	_k_n_07
19	_caddy_n_01
20	_darling_pea_n_01
21	_astronomy_unit_n_01
22	_cosmologic_a_01
23	_exabit_n_01
24	_bryopsida_n_01
25	_cafe_n_01
26	_truckle_v_01
27	_pancreas_n_01
28	_submission_n_01
29	_crudites_n_01
30	_drive_n_07
31	_rein_orchid_n_01
32	_radiologist_n_01
33	_merganser_n_01
34	_paraphrase_v_01
35	_drive_v_16
36	_togo_n_01
37	_blackout_n_02
38	_venesect_v_01
39	_collapse_v_05
40	_gangrene_n_01
41	_sketch_v_02
42	_telecast_v_01
43	_masturbator_n_01
44	_ovulate_v_01
45	_paragraph_v_01
46	_extirpation_n_02
47	_black_marketeer_v_01
48	_kendall_test_n_01
49	_wear_v_09
50	_promenade_n_02
51	_boidae_n_01
52	_interpolation_n_02
53	_attacker_n_01
54	_mycenae_n_01
55	_depression_n_08
56	_business_activity_n_01
57	_gentian_n_01
58	_collar_v_01
59	_terror_n_02
60	_art_form_n_01
61	_polyporus_squamosus_n_01
62	_vaunt_n_01
63	_desert_mariposa_tulip_n_01
64	_point_v_09
65	_yellow_adder's_tongue_n_01
66	_business_department_n_01
67	_culcita_n_01
68	_cryptotermes_n_01
69	_betrothal_n_01
70	_helvella_n_01
71	_harriman_n_01
72	_newport_n_02
73	_debilitation_n_01
74	_sin_n_02
75	_ancestry_n_02
76	_continental_slope_n_01
77	_trudger_n_01
78	_lore_n_01
79	_set_down_v_04
80	_blade_n_09
81	_spinal_a_01
82	_demur_v_02
83	_sallow_n_01
84	_bunfight_n_01
85	_litter_v_03
86	_sparrow_hawk_n_01
87	_saururus_n_01
88	_breathing_device_n_01
89	_solid_n_03
90	_genus_schizopetalon_n_01
91	_clean_r_01
92	_agnatha_n_01
93	_caesura_n_01
94	_centimeter_n_01
95	_aircrewman_n_01
96	_festuca_n_01
97	_unitize_v_01
98	_wild_sheep_n_01
99	_oil_pump_n_01
100	_brood_hen_n_01
101	_placebo_effect_n_01
102	_alliterator_n_01
103	_fill_v_01
104	_white_mullet_n_01
105	_agony_n_01
106	_inelasticity_n_01
107	_thatcherite_n_01
108	_legislative_act_n_01
109	_bide_v_01
110	_frail_a_01
111	_muster_n_01
112	_purpura_n_01
113	_plunder_v_03
114	_duluth_n_01
115	_distress_n_02
116	_reorient_v_03
117	_sprinkle_v_02
118	_play_v_12
119	_nystatin_n_01
120	_collection_n_02
121	_carboxylic_acid_n_01
122	_chinese_wall_n_01
123	_jovian_planet_n_01
124	_obstruct_v_02
125	_prose_n_01
126	_field-grade_officer_n_01
127	_claim_n_01
128	_chaise_n_02
129	_restraint_n_02
130	_squawk_box_n_01
131	_analyst_n_03
132	_boater_n_01
133	_refresh_v_04
134	_centime_n_01
135	_plexor_n_01
136	_take_lying_down_v_01
137	_enjoyment_n_01
138	_allotment_n_02
139	_decay_n_01
140	_shower_curtain_n_01
141	_shrub_n_01
142	_echinoidea_n_01
143	_riga_n_01
144	_ladle_v_01
145	_action_v_01
146	_unmanly_a_01
147	_lesson_n_01
148	_theosophy_n_01
149	_genus_aquilegia_n_01
150	_fortified_wine_n_01
151	_frenchman_n_01
152	_contract_v_01
153	_force_n_01
154	_hound_v_01
155	_tights_n_01
156	_transfiguration_n_01
157	_defense_n_01
158	_irish_national_liberation_army_n_01
159	_aulostomidae_n_01
160	_meet_n_01
161	_conduct_v_02
162	_dish_n_05
163	_cricket_equipment_n_01
164	_tamias_n_01
165	_farmhand_n_01
166	_inclination_n_08
167	_practitioner_n_01
168	_power_n_02
169	_desorb_v_02
170	_unicycle_v_01
171	_poison_v_02
172	_jean_n_01
173	_gather_v_05
174	_botswana_n_01
175	_trichopterous_insect_n_01
176	_therapist_n_01
177	_hottonia_n_01
178	_tonicity_n_01
179	_obstacle_n_02
180	_yottabyte_n_02
181	_escapology_n_01
182	_restraint_n_06
183	_stock_n_03
184	_juice_n_04
185	_oakland_n_01
186	_angle_v_01
187	_fog_n_02
188	_planner_n_01
189	_scipio_n_01
190	_probate_v_01
191	_coryphaenidae_n_01
192	_food_n_01
193	_slither_v_01
194	_embankment_n_01
195	_navigation_n_02
196	_variety_show_n_01
197	_heterodyne_v_01
198	_remilitarization_n_01
199	_carburetor_n_01
200	_float_v_04
201	_discouragement_n_01
202	_shtik_n_03
203	_burgundy_n_02
204	_false_tamarisk_n_01
205	_lemon_sole_n_01
206	_outdoor_game_n_01
207	_solmizate_v_02
208	_obfuscate_v_01
209	_incompatibility_n_02
210	_agent_n_01
211	_deteriorate_v_01
212	_crimson_n_01
213	_motor_fiber_n_01
214	_utmost_n_01
215	_integrate_v_01
216	_tense_v_04
217	_marsh_hawk_n_01
218	_organic_chemistry_n_01
219	_gasterosteus_n_01
220	_erin_n_01
221	_loss_n_01
222	_reduce_v_04
223	_godwit_n_01
224	_fear_n_01
225	_allegation_n_01
226	_sports_fan_n_01
227	_component_n_01
228	_sciadopityaceae_n_01
229	_mastoid_n_01
230	_santa_ana_n_03
231	_herpes_simplex_n_02
232	_polynomial_n_01
233	_air_cover_n_01
234	_umbrella_tree_n_01
235	_genicular_vein_n_01
236	_pooch_n_01
237	_contact_n_03
238	_reasonable_a_01
239	_didelphidae_n_01
240	_demeanor_n_01
241	_horse-drawn_vehicle_n_01
242	_grail_n_02
243	_whooper_n_02
244	_replace_v_01
245	_aggregate_v_02
246	_beggary_n_01
247	_crisscross_v_01
248	_community_n_01
249	_job_n_12
250	_adventism_n_01
251	_chile_n_01
252	_intonation_n_03
253	_hour_n_02
254	_page_n_01
255	_judiciousness_n_01
256	_fabrication_n_04
257	_casualty_n_01
258	_part_n_11
259	_calcify_v_04
260	_pork_n_01
261	_versification_n_03
262	_gonorhynchus_n_01
263	_apprehension_n_03
264	_mammea_n_01
265	_multivariate_analysis_n_01
266	_brotulidae_n_01
267	_deprive_v_03
268	_breakdown_n_02
269	_sympathetic_nervous_system_n_01
270	_muscle_v_01
271	_economics_n_01
272	_convener_n_01
273	_smut_n_02
274	_familiar_a_01
275	_notice_n_02
276	_partaker_n_01
277	_clethra_n_01
278	_foxglove_n_01
279	_grebe_n_01
280	_pan_v_03
281	_unvaried_a_01
282	_permeate_v_01
283	_osmanthus_n_01
284	_increase_v_01
285	_room_n_01
286	_scolopacidae_n_01
287	_serving_cart_n_01
288	_engineer_v_01
289	_poison_ivy_n_02
290	_drink_v_02
291	_arabian_desert_n_01
292	_evaporate_v_02
293	_olive_n_02
294	_expose_v_01
295	_remember_v_07
296	_typewriter_font_n_01
297	_ciprofloxacin_n_01
298	_integrated_circuit_n_01
299	_agitation_n_03
300	_inland_revenue_n_01
301	_arab-israeli_war_n_02
302	_pondweed_n_01
303	_nasal_n_02
304	_trespass_v_02
305	_orator_n_01
306	_baton_rouge_n_01
307	_groundnut_n_01
308	_dissonance_n_03
309	_lacrimal_bone_n_01
310	_appellation_n_01
311	_beefwood_n_02
312	_nation_n_04
313	_stagehand_n_01
314	_ketamine_n_01
315	_handicraft_n_01
316	_collared_pika_n_01
317	_leap_v_02
318	_feasting_n_01
319	_color-blind_person_n_01
320	_clonidine_n_01
321	_malodor_n_01
